tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
03/06/2021,WOG21F0002,FALSE,FALSE,9067.14,55,24977,5082,1.75,8893.5,0,106,40,0,106,2,38,2.5,1.5
03/06/2021,WOG21F0003,FALSE,FALSE,12089.52,54,24979,3500,3.2,11200,0,764,89,0,764,2,51.2,2,1
09/06/2021,WOG21F0007,FALSE,FALSE,3358.2,56,24984,100,29.78,2978,0,352.5,17.63,0,352.5,2,15.5,2,2.5
14/06/2021,WOG21F0009,FALSE,FALSE,4134.02,52,24983,188,19.77,3716.76,0,270,135,0,270,2,17.5,2.5,2
15/06/2021,WOG21F0011,FALSE,FALSE,10898.78,55,24980,2067,5.1,10541.7,0,309,15.45,0,309,2,45,2,1.5
17/06/2021,WOG21F0012,FALSE,FALSE,9742.14,54,24978,3824.303797,2.37,9063.6,0,432.6,118.5,0,432.6,2,38,2.5,0
17/06/2021,WOG21F0014,FALSE,FALSE,18041,55,24980,3363,5.1,17151.3,0,331.2,122.5,0,331.2,2,70,2,1.5
23/06/2021,WOG21F0017,FALSE,FALSE,30223.8,55,24979,7897,3.2,25270.4,0,3339,790,0,3339,2,105,3,2.5
04/06/2021,WOG21F0026,FALSE,FALSE,65,55,24980,12,5.1,61.2,0,0,0,0,0,2,0.3,0.1,0
03/06/2021,WOG21F0027,FALSE,FALSE,175,54,24978,73,2.37,173.01,0,0,0,0,0,2,0.8,0.1,0
07/06/2021,WOF21F0001,FALSE,TRUE,186.26,55,24977,0,1.75,0,0,105.7,80,0,105.7,2,1.3,0.3,0
09/06/2021,WOF21F0002,FALSE,TRUE,332.47,55,24977,0,1.75,0,0,315.7,15.76,0,315.7,2,0,0,0
10/06/2021,WOF21F0004,FALSE,TRUE,166.237,55,24980,0,5.1,0,0,157.85,7.89,0,157.85,2,0,0,0
07/06/2021,WOE21F0002,TRUE,FALSE,224,54,24980,0,1,0,0,0,223.32,0,0,2,0,0,0
09/06/2021,WOE21F0003,TRUE,FALSE,224,55,24980,0,1,0,0,0,223.32,0,0,2,0,0,0
11/06/2021,WOE21F0004,TRUE,FALSE,224,56,24980,0,1,0,0,0,223.32,0,0,2,0,0,0
23/06/2021,WOE21F0008,TRUE,FALSE,224,54,24980,0,1,0,0,0,213.38,0,0,2,0,0,0
25/06/2021,WOE21F0009,TRUE,FALSE,224,55,24980,0,1,0,0,0,213.38,0,0,2,0,0,0
03/05/2021,WOG21E0005,FALSE,FALSE,2894.2,53,29380,1021,2.58,2634.18,0,239.3,11.97,0,239.3,2,13,2,0
03/05/2021,WOG21E0007,FALSE,FALSE,28747.8,56,29383,3004,8.83,26525.32,0,2035,101.75,0,2035,2,108,2.6,1
07/05/2021,WOG21E0010,FALSE,FALSE,4944.32,56,24942,210,19.71,4139.1,0,752.6,37.63,0,752.6,2,18.5,2.5,0
17/05/2021,WOG21E0014,FALSE,FALSE,9534.28,52,29376,10010,0.88,8808.8,0,664,33.2,0,664,2,48.5,2,1.5
19/05/2021,WOG21E0015,FALSE,FALSE,19779.24,54,29382,3566,5.34,19042.44,0,646,32.3,0,646,2,45,2,1.5
19/05/2021,WOG21E0016,FALSE,FALSE,10375.54,52,29377,8064,1.2,9676.8,0,636,31.5,0,636,2,22,2,1
20/05/2021,WOG21E0017,FALSE,FALSE,8381.58,53,29380,2968,2.58,7657.44,0,666,33.3,0,666,2,32,1.5,0
24/05/2021,WOG21E0018,FALSE,FALSE,23485.52,56,29383,2500.05889,8.83,22075.52,0,700,640,0,700,2,90.2,2.5,1.5
25/05/2021,WOE21E0004,TRUE,FALSE,260,55,29377,0,1,0,0,0,223.32,0,0,2,0,0,0
03/05/2021,WOG21E0003,FALSE,FALSE,4674.78,49,24973,10550,0.375,3956.25,0,671,33.55,0,671,2,23,2,1.2
07/05/2021,WOG21E0011,FALSE,FALSE,480,49,24972,1600,0.27,432,0,44.35,2.22,0,44.35,2,3.5,3.8,1.2
03/05/2021,WOE21E0001,TRUE,FALSE,260,49,24972,0,1,0,0,0,223.32,0,0,2,0,0,0
03/05/2021,WOG21E0001,FALSE,FALSE,1879.1,56,24984,60,29.78,1786.8,0,82.5,4.13,0,82.5,2,9,2,0.3
03/05/2021,WOG21E0002,FALSE,FALSE,4029.84,54,24979,1196,3.2,3827.2,0,181.5,9.08,0,181.5,2,68,2.7,0
03/05/2021,WOG21E0004,FALSE,FALSE,6760.58,55,24980,1213,5.1,6186.3,0,527.5,26.38,0,527.5,2,27,2.5,0
03/05/2021,WOG21E0006,FALSE,FALSE,7828.04,53,24977,4040,1.75,7070,0,699.5,34.98,0,699.5,2,30,2.5,1
04/05/2021,WOG21E0008,FALSE,FALSE,7472.22,53,24978,3044,2.37,7214.28,0,224,11.2,0,224,2,29,2,0
06/05/2021,WOG21E0009,FALSE,FALSE,13153.7,54,24979,3899,3.2,12476.8,0,607,30,0,607,2,51,2,1
17/05/2021,WOG21E0012,FALSE,FALSE,3022.38,50,24976,1512,1.39,2101.68,0,868.1,43.41,0,868.1,2,14,2.5,1
17/05/2021,WOG21E0013,FALSE,FALSE,5637.3,55,24980,938,5.1,4783.8,0,797,39.4,0,797,2,22,2,1.5
24/05/2021,WOG21E0019,FALSE,FALSE,5637.3,55,24980,1022,5.1,5212.2,0,200,208,0,200,2,23,1,0
24/05/2021,WOG21E0020,FALSE,FALSE,13529.52,54,24979,3885,3.2,12432,0,600,457,0,600,2,51,1.5,1
25/05/2021,WOG21E0021,FALSE,FALSE,4981.48,53,24978,1900,2.37,4503,0,280,183.5,0,280,2,20.1,1,0.5
05/05/2021,WOE21E0002,TRUE,FALSE,260,56,24978,0,1,0,0,0,223.32,0,0,2,0,0,0
17/05/2021,WOE21E0003,TRUE,FALSE,260,53,24978,0,1,0,0,0,223.32,0,0,2,0,0,0
