tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
23/03/2021,WOC21C0055,FALSE,FALSE,6075.52,46,24698,6000,1,6000,0,0,74,0,0,3,22,2.3,0
23/03/2021,WOC21C0057,FALSE,FALSE,6075.24,47,24698,6050,1,6050,0,0,23,0,0,3,21,2,0
24/03/2021,WOC21C0058,FALSE,FALSE,6340.89,47,24698,6275,1,6275,0,0,63,0,0,3,26,2,0
24/03/2021,WOC21C0056,FALSE,FALSE,7176.9,48,24698,7025,1,7025,0,100,49,0,100,3,24,2.3,0
24/03/2021,WOC21C0060,FALSE,FALSE,3997.49,46,24698,3950,1,3950,0,0,46,0,0,3,14,0.3,0
24/03/2021,WOC21C0066,FALSE,FALSE,2605.25,47,24698,2550,1,2550,0,0,54,0,0,3,9,2,0
25/03/2021,WOC21C0059,FALSE,FALSE,6287.52,48,24698,6175,1,6175,0,50,60,0,50,3,22,1,0
25/03/2021,WOC21C0061,FALSE,FALSE,5061.85,46,24698,4975,1,4975,0,0,85,0,0,3,17,1,0
26/03/2021,WOC21C0062,FALSE,FALSE,666.15,48,24698,650,1,650,0,0,15,0,0,3,2.3,0.3,0
26/03/2021,WOC21C0063,FALSE,FALSE,6046.1,46,29372,5900,1,5900,0,100,44,0,100,3,20,2,0
26/03/2021,WOC21C0064,FALSE,FALSE,3036.18,46,29372,3000,1,3000,0,0,35,0,0,3,10.3,1,0
26/03/2021,WOC21C0065,FALSE,FALSE,2093.76,48,29372,2050,1,2050,0,0,43,0,0,3,7,0.3,0
26/03/2021,WOC21C0067,FALSE,FALSE,8085.32,48,24698,8000,1,8000,0,0,83,0,0,3,27,3,0
26/03/2021,WOC21C0068,FALSE,FALSE,6162.1,46,29372,6050,1,6050,0,50,60,0,50,3,21,3,0
31/03/2021,WOC21C0069,FALSE,FALSE,12480.66,46,24698,12350,1,12350,0,0,126,0,0,3,42,5,2
31/03/2021,WOC21C0070,FALSE,FALSE,2620.92,46,24698,2550,1,2550,0,0,70,0,0,3,9,1,0
31/03/2021,WOC21C0071,FALSE,FALSE,8208.93,48,29372,8075,1,8075,0,50,80.5,0,50,3,28,1,0
04/03/2021,WOA21C0001,FALSE,TRUE,139.1,46,29372,75,1,75,0,0,64,0,0,3,0.3,0.1,0
19/03/2021,WOA21C0002,FALSE,TRUE,106.4,46,29372,75,1,75,0,0,31,0,0,3,0.3,0.1,0
16/03/2021,WOB21C0001,TRUE,FALSE,136.9,48,24698,0,1,0,0,0,136,0,0,3,0,0,0
18/03/2021,WOB21C0002,TRUE,FALSE,136.9,47,24698,0,1,0,0,0,136.8,0,0,3,0,0,0
19/03/2021,WOB21C0003,TRUE,FALSE,136.9,46,24698,0,1,0,0,0,136.8,0,0,3,0,0,0
31/03/2021,WOB21C0004,TRUE,FALSE,136.5,48,24698,0,1,0,0,0,136.4,0,0,3,0,0,0
01/02/2021,WOC21B0001,FALSE,FALSE,10247.69,48,24698,10150,1,10150,0,0,95,0,0,3,37,5,0
01/02/2021,WOC21B0002,FALSE,FALSE,1441.84,48,29372,1425,1,1425,0,0,16.4,0,0,3,5.3,0.3,0
01/02/2021,WOC21B0003,FALSE,FALSE,3426.63,48,24698,3325,1,3325,0,50,50.5,0,50,3,13,3,1
02/02/2021,WOC21B0004,FALSE,FALSE,5114.48,48,24698,5050,1,5050,0,0,63,0,0,3,19,2,0
02/02/2021,WOC21B0006,FALSE,FALSE,2136.57,48,29372,2075,1,2075,0,0,61,0,0,3,8,2,0
02/02/2021,WOC21B0007,FALSE,FALSE,1096.4,48,29372,1075,1,1075,0,0,21,0,0,3,4,0.2,0
03/02/2021,WOC21B0008,FALSE,FALSE,1563.57,48,29372,1525,1,1525,0,0,38,0,0,3,6,1,1
03/02/2021,WOC21B0009,FALSE,FALSE,5123,48,29372,5000,1,5000,0,50,71,0,50,3,20,2,0
04/02/2021,WOC21B0011,FALSE,FALSE,5074.41,48,24698,5050,1,5050,0,0,23,0,0,3,19,2,0
05/02/2021,WOC21B0010,FALSE,FALSE,3103.5,48,24698,3050,1,3050,0,0,52.5,0,0,3,11.3,2,0
05/02/2021,WOC21B0012,FALSE,FALSE,584.14,48,24698,575,1,575,0,0,8.9,0,0,3,2,0.3,0
05/02/2021,WOC21B0005,FALSE,FALSE,5112.65,48,29372,5050,1,5050,0,0,61,0,0,3,20,1,0
08/02/2021,WOC21B0013,FALSE,FALSE,5733.1,48,29372,5600,1,5600,0,75,56,0,75,3,23,3,0
08/02/2021,WOC21B0014,FALSE,FALSE,10252.27,46,24698,10050,1,10050,0,100,98,0,100,3,34,3,0
09/02/2021,WOC21B0015,FALSE,FALSE,3106.33,48,24698,3075,1,3075,0,0,30,0,0,3,11,1,0
09/02/2021,WOC21B0016,FALSE,FALSE,5737.31,46,24698,5650,1,5650,0,0,85,0,0,3,19,1,0
09/02/2021,WOC21B0018,FALSE,FALSE,443.77,48,29372,440,1,440,0,0,3.6,0,0,3,1.5,0.2,0
10/02/2021,WOC21B0017,FALSE,FALSE,5126.36,48,24698,5050,1,5050,0,0,75,0,0,3,20,2,0
10/02/2021,WOC21B0019,FALSE,FALSE,2136.57,46,29372,2075,1,2075,0,0,61,0,0,3,7,0.3,0
11/02/2021,WOC21B0022,FALSE,FALSE,5043.68,48,24698,5025,1,5025,0,0,17,0,0,3,20,1.3,0
11/02/2021,WOC21B0023,FALSE,FALSE,5281.47,48,24698,5225,1,5225,0,0,55,0,0,3,21,3,0
11/02/2021,WOC21B0025,FALSE,FALSE,5175.01,46,24698,5125,1,5125,0,0,48,0,0,3,17.3,1,0
15/02/2021,WOC21B0020,FALSE,FALSE,5402.24,46,24698,5250,1,5250,0,50,100,0,50,3,21,2,1
15/02/2021,WOC21B0021,FALSE,FALSE,5125.51,48,29372,5050,1,5050,0,0,74,0,0,3,20,2,0
15/02/2021,WOC21B0024,FALSE,FALSE,5043.65,46,24698,5025,1,5025,0,0,17,0,0,3,20,2,0
16/02/2021,WOC21B0026,FALSE,FALSE,5074.36,46,24698,5025,1,5025,0,0,48,0,0,3,18,2.3,0
16/02/2021,WOC21B0027,FALSE,FALSE,5087.14,48,24698,5025,1,5025,0,0,60.5,0,0,3,18,1.3,0
17/02/2021,WOC21B0030,FALSE,FALSE,5012.35,48,24698,4975,1,4975,0,0,36,0,0,3,19,1.3,0
17/02/2021,WOC21B0031,FALSE,FALSE,5158.31,46,24698,5075,1,5075,0,0,81.7,0,0,3,20,2.3,0
18/02/2021,WOC21B0028,FALSE,FALSE,10014.31,48,24698,9850,1,9850,0,100,61,0,100,3,36,4.3,0
18/02/2021,WOC21B0032,FALSE,FALSE,5174.88,46,24698,5100,1,5100,0,0,73,0,0,3,17.3,2,0
19/02/2021,WOC21B0029,FALSE,FALSE,1142.2,48,24698,1125,1,1125,0,0,16.5,0,0,3,4,0.3,0
19/02/2021,WOC21B0033,FALSE,FALSE,790.62,48,29372,775,1,775,0,0,15.4,0,0,3,3,0.3,0
19/02/2021,WOC21B0034,FALSE,FALSE,1330.94,48,29372,1300,1,1300,0,0,30.5,0,0,3,5,0.3,0
19/02/2021,WOC21B0036,FALSE,FALSE,12225.37,46,29372,12075,1,12075,0,0,147,0,0,3,45,5,0
19/02/2021,WOC21B0037,FALSE,FALSE,5043.79,48,24698,5025,1,5025,0,0,17,0,0,3,20,2,0
22/02/2021,WOC21B0035,FALSE,FALSE,4722.95,46,29372,4675,1,4675,0,0,46.5,0,0,3,16,1,0
22/02/2021,WOC21B0038,FALSE,FALSE,7042.24,48,24698,7000,1,7000,0,0,40,0,0,3,27,2.3,0
22/02/2021,WOC21B0039,FALSE,FALSE,1143.04,48,24698,1125,1,1125,0,0,17.7,0,0,3,4.3,0.3,0
23/02/2021,WOC21B0040,FALSE,FALSE,2593.09,48,24698,2550,1,2550,0,0,42,0,0,3,9,1.3,0
23/02/2021,WOC21B0041,FALSE,FALSE,4970.94,46,29372,3250,1,3250,0,1300,419,0,1300,3,13,2,0
23/02/2021,WOC21B0042,FALSE,FALSE,7042.24,48,24698,7025,1,7025,0,0,15,0,0,3,26,2.3,1
24/02/2021,WOC21B0045,FALSE,FALSE,2031.02,48,24698,2000,1,2000,0,0,30.5,0,0,3,8,1,0
24/02/2021,WOC21B0046,FALSE,FALSE,1004.89,48,29372,1000,1,1000,0,0,4.6,0,0,3,4,0.3,0
24/02/2021,WOC21B0043,FALSE,FALSE,10775.46,46,24698,10600,1,10600,0,50,122,0,50,3,39,8,0
24/02/2021,WOC21B0044,FALSE,FALSE,8492.52,46,24698,8450,1,8450,0,0,40,0,0,3,30,3,0
24/02/2021,WOC21B0047,FALSE,FALSE,2037.52,48,29372,2025,1,2025,0,0,12,0,0,3,7.3,0.3,0
23/02/2021,WOB21B0001,TRUE,FALSE,136.9,48,24698,0,1,0,0,0,136.8,0,0,3,0,0,0
