tanggal,kk,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik,cleaning
07/01/2021,OM/21/013,3,2938,285,27.57193,7858,0,1212,0,92,0,3,18.08,1.75,1.5,FALSE
08/01/2021,OM/21/013,3,2938,215,28.00465,6021,0,435,0,91,0,3,12.05,0.83,0,FALSE
08/01/2021,OM/21/019,3,2938,176,28.35227,4990,0,257,0,92,0,3,10,1.08,0,FALSE
09/01/2021,OM/21/019,3,2938,336,28.16667,9464,0,193,0,152,0,3,19.83,1.17,0,FALSE
21/02/2021,OM/21/072,3,2938,82,29.47561,2417,0,1436,0,47,0,3,4.5,4.67,0,FALSE
22/02/2021,OM/21/072,3,2938,240,28.35833,6806,0,455,0,101,0,3,14.67,0.75,0,FALSE
23/02/2021,OM/21/072,3,2938,430,28.09302,12080,0,23,0,230,0,3,23.92,0.08,0,FALSE
24/02/2021,OM/21/072,3,2938,251,27.73307,6961,0,322,0,127,0,3,13.67,0.67,0,FALSE
24/02/2021,OM/21/074,3,2953,111,33.43243,3711,0,818,0,66,0,3,7.5,1.67,0,FALSE
25/02/2021,OM/21/074,3,2953,46,33.08696,1522,0,245,0,42,0,3,3.33,0,0.5,FALSE
27/02/2021,OM/21/088,3,2938,118,27.62712,3260,0,627,0,68,0,3,7.67,1.17,0,FALSE
28/02/2021,OM/21/088,3,2938,92,27.78261,2556,0,5,0,27,0,3,6.42,0.5,0,FALSE
26/02/2021,OM/21/051,5,2957,42,19.61905,824,0,2375,0,122,550,3,10.25,10,0,FALSE
27/02/2021,OM/21/051,5,2957,22,19.63636,432,0,58,0,30,200,3,3,1.5,0,FALSE
02/03/2021,OM/21/082,5,2895,47,42.06383,1977,0,859,0,116,450,3,6.5,4,2.5,FALSE
03/03/2021,OM/21/082,5,2895,156,42.57051,6641,0,747,0,188,475,3,21.67,1.83,0,FALSE
04/03/2021,OM/21/082,5,2948,10,35.5,355,0,0,0,14,0,3,1.33,0,0,FALSE
04/03/2021,OM/21/083,5,2896,72,21,1512,0,658,0,66,0,3,5.33,0,2.17,FALSE
21/04/2021,OM/21/0139,3,2938,195,28.07692,5475,0,367,0,79,0,3,12.67,0.67,0,FALSE
22/04/2021,OM/21/0139,3,2938,368,28.30707,10417,0,388,0,141,1025,3,22.58,1.42,0,FALSE
23/04/2021,OM/21/0139,3,2938,38,28.15789,1070,0,0,0,15,0,3,2.17,0,0,FALSE
23/04/2021,OM/21/0158,3,2953,275,31.45455,8650,0,1082,0,124,1290,3,19.5,2.33,0,FALSE
24/04/2021,OM/21/0166,3,2953,602,13.22425,7961,0,2169,0,135,1530,3,18.17,4.67,0,FALSE
22/04/2021,OM/21/0164,2,2895,8,42.875,343,0,165,2,5,10,3,1,0.5,0,FALSE
23/04/2021,OM/21/0164,2,2895,148,41.72297,6175,0,243,6,92,1790,3,22.07,1.77,0,FALSE
16/01/2021,OM/21/025,3,2938,150,27.16667,4075,0,609,0,85,1080,3,9.25,2.25,0,FALSE
17/01/2021,OM/21/025,3,2938,50,27.52,1376,0,310,0,28,320,3,3,0.83,0,FALSE
24/03/2021,OM/21/0119,3,2938,207,27.45411,5683,0,856,0,89,945,3,11.5,2.5,0,FALSE
28/04/2021,OM/21/0170,3,2938,141,27.2766,3846,0,692,0,49,850,3,9.33,1.25,0,FALSE
29/04/2021,OM/21/0170,3,2938,264,28.54924,7537,0,943,0,100,2080,3,15.58,1.42,0,FALSE
20/02/2021,OM/21/064,2,2938,163,27.80368,4532,0,989,0,49,1515,3,14.33,2.25,0.5,FALSE
21/02/2021,OM/21/064,2,2938,38,31.21053,1186,0,395,0,12,400,3,4.67,1.67,2.5,FALSE
06/03/2021,OM/21/0100,2,2938,34,30,1020,0,766,0,10,360,3,3,1.42,0.83,FALSE
07/03/2021,OM/21/0100,2,2938,85,28.15294,2393,0,814,0,26,580,3,9.08,1.75,0,FALSE
15/01/2021,OM/21/024,3,2938,18,27.16667,489,0,110,0,10,170,3,1.42,0.5,0,FALSE
16/01/2021,OM/21/024,3,2938,188,26.55319,4992,0,653,0,108,1630,3,11,1.5,0,FALSE
22/01/2021,OM/21/042,3,2953,6,31.83333,191,0,1483,0,5,0,3,0.5,2,0,FALSE
23/01/2021,OM/21/042,3,2953,139,32.64029,4537,0,987,0,129,810,3,12.33,2.17,0,FALSE
23/01/2021,OM/21/041,3,2954,135,16.82963,2272,0,1314,0,64,510,3,7.17,2.08,0,FALSE
24/01/2021,OM/21/041,3,2954,38,17.34211,659,0,2263,0,10,0,3,3,3,3.83,FALSE
23/03/2021,OM/21/0118,3,2938,91,27.74725,2525,0,456,0,39,600,3,6.25,0,0.67,FALSE
