Date,WO,Formatted WO,KK,Machine,Customer,Product Type,s_or_g,tebal,panjang,lebar,"Order
(Pcs)",Finished Goods (Pcs),Finished Goods (Kg),berat,"Scrap
(Kg)","Waste
(Kg)",DL Std,"Effective Hours
(H)",Down Time produksi,DT Teknik,Capacity/Out Put Std (Kg/H),Equipment Earn Hour,"Machine
Eff",Production Eff,"Material
Eff",OEE,DL Earn Hour
19/01/2021,30,0030,WO1.210030,OM 2000,BPK. AGUS,IMPRABOARD,N,3.00,785.00,480.00,3500.00,1250.00,223.50,0.178800000,46.70,0.30,3.00,0.78,0.12,0.00,280.00,0.80,0.87,1.02,0.83,0.73,2.39
20/01/2021,30,0030,WO1.210030,OM 2000,BPK. AGUS,IMPRABOARD,N,3.00,785.00,480.00,0.00,2250.00,405.10,0.180044444,18.80,0.20,3.00,1.32,0.00,0.00,280.00,1.45,1.00,1.09,0.96,1.04,4.34
03/04/2021,191,0191,WO1.210191,OM 2000,BPK. AGUS,IMPRABOARD,N,3.00,785.00,480.00,5000.00,3800.00,678.70,0.178605263,63.70,0.40,3.00,2.36,0.12,             -  ,300.00,2.26,0.95,0.96,0.91,0.84,6.79
08/04/2021,57,0057,WO2.210057,OM 2500,MPZ/ PTY/LTD,IMPRABOARD,N,3.00,1340.00,490.00,8000.00,5100.00,1694.50,0.332254902,720.70,0.40,3.00,5.52,2.80,1.67,300.00,5.65,0.55,1.02,0.70,0.40,16.95
09/04/2021,57,0057,WO2.210057,OM 2500,MPZ/ PTY/LTD,IMPRABOARD,N,3.00,1340.00,490.00,                -  ,2930.00,945.20,0.322593857,111.60,0.40,3.00,3.06,0.69,0.67,300.00,3.15,0.69,1.03,0.89,0.64,9.65
14/01/2021,8,0008,WO1.210008,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,2500.00,2530.00,460.90,0.182173913,677.90,0.20,3.00,2.84,2.85,0.00,280.00,1.65,0.50,0.58,0.40,0.12,4.94
19/01/2021,21,0021,WO1.210021,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,1500.00,1490.00,268.70,0.180335570,257.10,0.00,3.00,0.91,2.38,0.00,280.00,0.96,0.28,1.05,0.51,0.15,2.88
02/02/2021,57,0057,WO1.210057,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,5440.00,5600.00,1010.60,0.180464286,592.30,0.10,6.00,3.54,6.30,             -  ,280.00,3.61,0.36,1.02,0.63,0.23,21.66
09/02/2021,79,0079,WO1.210079,OM 2000,HARTONO,IMPRABOARD,N,3.00,750.00,500.00,2200.00,2240.00,408.10,0.182187500,16.30,        -  ,3.00,1.52,             -  ,             -  ,280.00,1.46,1.00,0.96,0.96,0.92,4.37
08/02/2021,83,0083,WO1.210083,OM 2500,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,1500.00,1500.00,273.40,0.182266667,8.50,        -  ,3.00,0.94,             -  ,             -  ,375.00,0.73,1.00,0.78,0.97,0.75,2.19
10/02/2021,87,0087,WO1.210087,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,2000.00,850.00,153.30,0.180352941,315.90,        -  ,3.00,0.53,0.80,             -  ,280.00,0.55,0.40,1.03,0.33,0.13,1.64
11/02/2021,87,0087,WO1.210087,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,                -  ,1200.00,218.60,0.182166667,8.90,        -  ,3.00,0.81,             -  ,             -  ,280.00,0.78,1.00,0.96,0.96,0.92,2.34
15/02/2021,95,0095,WO1.210095,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,1500.00,1560.00,282.00,0.180769231,592.40,0.30,6.00,0.99,1.75,             -  ,280.00,1.01,0.36,1.02,0.32,0.12,6.04
04/03/2021,122,0122,WO1.210122,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,3000.00,3040.00,553.90,0.182203947,451.50,0.70,3.00,2.06,2.49,             -  ,300.00,1.85,0.45,0.90,0.55,0.22,5.54
16/03/2021,153,0153,WO1.210153,OM 2500,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,3000.00,3050.00,555.90,0.182262295,303.80,0.30,3.00,1.92,0.65,             -  ,300.00,1.85,0.75,0.96,0.65,0.47,5.56
26/03/2021,168,0168,WO1.210168,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,1000.00,1050.00,190.30,0.181238095,272.50,0.20,3.00,0.66,1.25,             -  ,300.00,0.63,0.35,0.96,0.41,0.14,1.90
26/03/2021,174,0174,WO1.210174,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,3000.00,3600.00,649.50,0.180416667,306.20,0.30,3.00,2.27,0.65,             -  ,300.00,2.17,0.78,0.95,0.68,0.50,6.50
27/03/2021,176,0176,WO1.210176,OM 2000,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,2000.00,2090.00,380.70,0.182153110,251.30,        -  ,3.00,1.34,2.49,             -  ,300.00,1.27,0.35,0.95,0.60,0.20,3.81
31/03/2021,184,0184,WO1.210184,OM 2500,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,3000.00,3050.00,543.10,0.178065574,213.80,0.30,3.00,1.75,             -  ,             -  ,300.00,1.81,1.00,1.03,0.72,0.74,5.43
06/04/2021,194,0194,WO1.210194,OM 2500,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,1500.00,1550.00,276.00,0.178064516,188.00,        -  ,3.00,0.89,0.85,             -  ,300.00,0.92,0.51,1.04,0.59,0.32,2.76
06/04/2021,195,0195,WO1.210195,OM 2500,KREASI DASATAMA,IMPRABOARD,N,3.00,750.00,500.00,2500.00,2550.00,454.10,0.178078431,19.30,        -  ,3.00,1.46,             -  ,             -  ,300.00,1.51,1.00,1.04,0.96,1.00,4.54
09/04/2021,57,0057,WO2.210057,OM 2500,MPZ/ PTY/LTD,IMPRABOARD,N,3.00,1280.00,520.00,500.00,515.00,174.30,0.338446602,48.70,0.50,3.00,0.66,0.02,             -  ,300.00,0.58,0.97,0.88,0.78,0.66,1.74
09/04/2021,57,0057,WO2.210057,OM 2500,MPZ/ PTY/LTD,IMPRABOARD,N,3.00,1340.00,590.00,2000.00,2020.00,811.20,0.401584158,85.60,        -  ,3.00,2.73,0.03,             -  ,300.00,2.70,0.99,0.99,0.90,0.89,7.38
10/02/2021,30,0030,WO2.210030,OM 2500,MULFORD,IMPRABOARD,N,3.00,930.00,630.00,6400.00,6420.00,2069.60,0.322367601,433.10,0.20,6.00,7.18,2.67,             -  ,375.00,5.52,0.73,0.77,0.83,0.46,33.11
