tanggal,kk,cleaning,trial,fresh,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
05/04/2021,WO2.210053,FALSE,FALSE,0,26,16145,2450.691656,0.8964,2196.8,0,1164.4,0.5,0,0,3,9.47,0.96,0
28/02/2021,WO1.210116,FALSE,FALSE,0,26,13227,2855.432505,0.3341,954,0,413.5,1.5,0,0,3,3.56,0.99,0.72
25/02/2021,WO1.210108,FALSE,FALSE,0,26,14578,2946.375372,0.1007,296.7,0,96.2,0.8,0,0,3,0.99,0,0
07/02/2021,WO1.210074,FALSE,FALSE,0,26,13255,325.8145363,0.798,260,0,190,0,0,0,3,0.94,2.43,0
08/02/2021,WO1.210074,FALSE,FALSE,0,26,13255,692.3558897,0.798,552.5,0,152.2,0,0,0,3,1.99,0.46,0
09/04/2021,WO2.210057,FALSE,FALSE,0,26,15087,2879.074018,0.3283,945.2,0,111.6,0.4,0,0,3,3.06,0.69,0.67
21/04/2021,WO2.210051,FALSE,FALSE,0,26,12562,385.3096794,1.2852,495.2,0,217.5,2,0,0,3,1.99,0,0
06/02/2021,WO1.210072,FALSE,FALSE,0,26,16600,545.7278193,1.0978,599.1,0,846.3,0.6,0,0,3,2.09,3.52,0
09/04/2021,WO2.210057,FALSE,FALSE,0,26,15391,523.7379808,0.3328,174.3,0,48.7,0.5,0,0,3,0.66,0.02,0
31/03/2021,WO1.210187,FALSE,FALSE,0,26,14391,501.8037257,1.271812,638.2,0,739.8,0,0,0,3,2.04,3.11,0
02/02/2021,WO2.210026,FALSE,FALSE,0,26,12390,177.8341794,0.591,105.1,0,216.9,0,0,0,3,0.38,0,0
09/04/2021,WO2.210057,FALSE,FALSE,0,26,15569,2052.11232,0.3953,811.2,0,85.6,0,0,0,3,2.73,0.03,0
01/02/2021,WO1.210065,FALSE,FALSE,0,26,11109,1015.686275,0.561,569.8,0,620.3,1.9,0,0,3,2.51,5.06,0.17
25/05/2021,WO1.210259,FALSE,FALSE,0,26,11502,202.9605263,1.52,308.5,0,67.6,0.5,0,0,3,1,0.17,0
13/01/2021,WO1.210017,FALSE,FALSE,0,26,12306,507.3877069,0.6768,343.4,0,356.5,0.1,0,0,3,1.362,0.858333333,0
16/03/2021,WO1.210147,FALSE,FALSE,0,26,12306,507.3877069,0.6768,343.4,0,66.4,0,0,0,3,1.35,0.02,0
26/04/2021,WO1.210226,FALSE,FALSE,0,26,12306,1014.775414,0.6768,686.8,0,509,1.2,0,0,3,2.7,1.75,0.17
07/05/2021,WO2.210085,FALSE,FALSE,0,26,22619,2662.752772,1.0731,2857.4,0,849.6,1.3,0,0,3,9.7,6.88,2.5
05/04/2021,WO2.210053,FALSE,FALSE,0,26,15697,2558.703072,0.293,749.7,0,307.6,0,0,0,3,3.22,0.04,0
08/04/2021,WO2.210057,FALSE,FALSE,0,26,15087,5161.437709,0.3283,1694.5,0,720.7,0.4,0,0,3,5.52,2.8,1.67
04/05/2021,WO2.210087,FALSE,FALSE,0,26,16574,849.944009,1.786,1518,0,107,0.4,0,0,3,4.97,0.03,0
04/04/2021,WO2.210053,FALSE,FALSE,0,26,13857,874.8387097,1.1625,1017,0,789.3,0.8,0,0,3,3.27,2.98,1.25
07/04/2021,WO1.210195,FALSE,FALSE,0,26,13255,364.0350877,0.798,290.5,0,35,0,0,0,3,1,0,0
03/05/2021,WO2.210087,FALSE,FALSE,0,26,16574,990.9294513,1.786,1769.8,0,1082.6,1.5,0,0,3,5.8,4.1,0.92
06/04/2021,WO1.210195,FALSE,FALSE,0,26,13255,647.1177945,0.798,516.4,0,678.8,0.5,0,0,3,1.73,2.5,0
29/05/2021,WO2.210097,FALSE,FALSE,0,26,12575,1781.148564,1.091206,1943.6,0,214.7,0,0,0,3,6.09,0.64,0
29/05/2021,WO2.210097,FALSE,FALSE,0,26,29211,395.8393702,1.65648,655.7,0,161.7,0,0,0,3,2.42,0,0
03/03/2021,WO2.210035,FALSE,FALSE,0,26,13396,1801.194476,1.3395,2412.7,0,691.4,0.9,0,0,3,8.59,1.97,1
05/02/2021,WO1.210048,FALSE,FALSE,0,26,9886,1430.259456,1.039252,1486.4,0,143.7,0,0,0,3,5.26,0.33,0
23/04/2021,WO1.210219,FALSE,FALSE,0,26,11169,742.5265188,0.6222,462,0,166.1,0,0,0,3,1.65,0,1.58
08/04/2021,WO1.210199,FALSE,FALSE,0,26,11169,757.3127612,0.6222,471.2,0,164.6,0.2,0,0,3,1.55,0.2,0
22/04/2021,WO2.210051,FALSE,FALSE,0,26,12562,2385.231871,1.2852,3065.5,0,1604,1.4,0,0,3,11.3,4.95,1.33
10/03/2021,WO1.210151,FALSE,FALSE,0,26,9432,605.7503506,0.713,431.9,0,46.2,0,0,0,3,1.49,0,0
16/03/2021,WO1.210147,FALSE,FALSE,0,26,9432,524.9649369,0.713,374.3,0,13.7,0,0,0,3,1.29,0,0
07/03/2021,WO1.210137,FALSE,FALSE,0,26,9781,990.6426311,0.7267,719.9,0,50.4,0,0,0,3,2.5,0.07,0
08/03/2021,WO1.210135,FALSE,FALSE,0,26,9781,990.6426311,0.7267,719.9,0,206.6,0,0,0,3,2.49,0.67,0
